fold,sample_idx,filename,label,class,path
1,0,sample_000000.png,0,Upregulated,DeepInsight_KIRC_4x4_IMGS/fold_1/Upregulated/sample_000000.png
1,1,sample_000001.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000001.png
1,2,sample_000002.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000002.png
1,4,sample_000004.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000004.png
1,7,sample_000007.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000007.png
1,8,sample_000008.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000008.png
1,9,sample_000009.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000009.png
1,10,sample_000010.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000010.png
1,12,sample_000012.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000012.png
1,13,sample_000013.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000013.png
1,14,sample_000014.png,1,Downregulated,DeepInsight_KIRC_4x4_IMGS/fold_1/Downregulated/sample_000014.png
1,15,sample_000015.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000015.png
1,17,sample_000017.png,0,Upregulated,DeepInsight_KIRC_4x4_IMGS/fold_1/Upregulated/sample_000017.png
1,18,sample_000018.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000018.png
1,19,sample_000019.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000019.png
1,20,sample_000020.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000020.png
1,24,sample_000024.png,2,NoDifference,DeepInsight_KIRC_4x4_IMGS/fold_1/NoDifference/sample_000024.png
1,25,sample_000025.png,0,Upregulated,DeepInsight_KIRC_4x4_IMGS/fold_1/Upregulated/sample_000025.png
1,26,sample_000026.png,1,Downregulated,DeepInsight_KIRC_4x4_IMGS/fold_1/Downregulated/sample_000026.png
