source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0019752,carboxylic acid metabolic process,4.8395598561782245e-21,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",738,1831,166,18452,0.0906608410704533,0.22493224932249323,query_1,['GO:0043436']
GO:BP,GO:0043436,oxoacid metabolic process,4.8395598561782245e-21,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",754,1831,168,18452,0.09175314036045877,0.22281167108753316,query_1,['GO:0006082']
GO:BP,GO:0006082,organic acid metabolic process,8.081739689315623e-21,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",760,1831,168,18452,0.09175314036045877,0.22105263157894736,query_1,['GO:0044281']
GO:BP,GO:0044281,small molecule metabolic process,3.6300408248935914e-20,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1477,1831,266,18452,0.1452758055707264,0.18009478672985782,query_1,['GO:0008152']
GO:BP,GO:0003008,system process,1.2026674160157178e-19,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",1453,1831,261,18452,0.14254505734571274,0.17962835512732278,query_1,['GO:0032501']
GO:BP,GO:0044282,small molecule catabolic process,3.466635937866792e-17,True,"""The chemical reactions and pathways resulting in the breakdown of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:vw]",305,1831,87,18452,0.047515019115237575,0.28524590163934427,query_1,"['GO:0009056', 'GO:0044281']"
GO:BP,GO:0016054,organic acid catabolic process,2.470545801193853e-15,True,"""The chemical reactions and pathways resulting in the breakdown of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",208,1831,66,18452,0.03604587657018023,0.3173076923076923,query_1,"['GO:0006082', 'GO:0044282']"
GO:BP,GO:0046395,carboxylic acid catabolic process,2.470545801193853e-15,True,"""The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",208,1831,66,18452,0.03604587657018023,0.3173076923076923,query_1,"['GO:0016054', 'GO:0019752']"
GO:BP,GO:0032501,multicellular organismal process,3.557257125504323e-15,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",5665,1831,727,18452,0.3970507919169853,0.12833186231244484,query_1,['GO:0008150']
GO:BP,GO:0001822,kidney development,3.747608514186529e-15,True,"""The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine."" [GOC:dph, GOC:mtg_kidney_jan10, ISBN:0124020607, ISBN:0721662544]",305,1831,83,18452,0.04533042053522665,0.2721311475409836,query_1,"['GO:0048513', 'GO:0072001']"
