source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007094,mitotic spindle assembly checkpoint signaling,2.1467310139608293e-05,True,"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]",47,1135,16,17408,0.014096916299559472,0.3404255319148936,query_1,"['GO:0045841', 'GO:0071173', 'GO:0071174']"
GO:BP,GO:0033046,negative regulation of sister chromatid segregation,2.1467310139608293e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]",49,1135,16,17408,0.014096916299559472,0.32653061224489793,query_1,"['GO:0000819', 'GO:0033045', 'GO:0051985', 'GO:2001251']"
GO:BP,GO:0031577,spindle checkpoint signaling,2.1467310139608293e-05,True,"""A signaling process that that controls a cell cycle checkpoint that originates from the mitotic or meiotic spindle."" [GOC:mtg_cell_cycle]",48,1135,16,17408,0.014096916299559472,0.3333333333333333,query_1,['GO:0000075']
GO:BP,GO:0010965,regulation of mitotic sister chromatid separation,2.1467310139608293e-05,True,"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",59,1135,18,17408,0.015859030837004406,0.3050847457627119,query_1,"['GO:0051306', 'GO:1905818']"
GO:BP,GO:0051306,mitotic sister chromatid separation,2.1467310139608293e-05,True,"""The process in which sister chromatids are physically detached from each other during mitosis."" [GOC:ai]",62,1135,18,17408,0.015859030837004406,0.2903225806451613,query_1,"['GO:0000070', 'GO:0051304', 'GO:1903047']"
GO:BP,GO:0051985,negative regulation of chromosome segregation,2.1467310139608293e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]",50,1135,16,17408,0.014096916299559472,0.32,query_1,"['GO:0007059', 'GO:0010948', 'GO:0051983']"
GO:BP,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,2.1467310139608293e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:go_curators]",49,1135,16,17408,0.014096916299559472,0.32653061224489793,query_1,"['GO:0007091', 'GO:0030071', 'GO:0045839', 'GO:1901991', 'GO:1902100', 'GO:2000816']"
GO:BP,GO:0033048,negative regulation of mitotic sister chromatid segregation,2.1467310139608293e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]",49,1135,16,17408,0.014096916299559472,0.32653061224489793,query_1,"['GO:0000070', 'GO:0033046', 'GO:0033047']"
GO:BP,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,2.1467310139608293e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]",50,1135,16,17408,0.014096916299559472,0.32,query_1,"['GO:0044784', 'GO:1901988', 'GO:1902099']"
GO:BP,GO:2000816,negative regulation of mitotic sister chromatid separation,2.1467310139608293e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic sister chromatid separation."" [GOC:obol]",49,1135,16,17408,0.014096916299559472,0.32653061224489793,query_1,"['GO:0010965', 'GO:0033048', 'GO:0051306', 'GO:1905819']"
GO:BP,GO:1905819,negative regulation of chromosome separation,2.1467310139608293e-05,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",50,1135,16,17408,0.014096916299559472,0.32,query_1,"['GO:0051304', 'GO:0051985', 'GO:1905818']"
GO:BP,GO:1905818,regulation of chromosome separation,2.1467310139608293e-05,True,"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",73,1135,20,17408,0.01762114537444934,0.273972602739726,query_1,"['GO:0051304', 'GO:0051983']"
GO:BP,GO:0071173,spindle assembly checkpoint signaling,2.1467310139608293e-05,True,"""A signaling process that delays the metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mah]",47,1135,16,17408,0.014096916299559472,0.3404255319148936,query_1,['GO:0031577']
GO:BP,GO:0071174,mitotic spindle checkpoint signaling,2.1467310139608293e-05,True,"""A signaling process that contributes to a mitotic cell cycle checkpoint that originates from the spindle and delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and oriented, the completion of anaphase until chromosomes are attached to the spindle, or mitotic exit and cytokinesis when the spindle does not form."" [GOC:mtg_cell_cycle]",47,1135,16,17408,0.014096916299559472,0.3404255319148936,query_1,"['GO:0007093', 'GO:0031577']"
